Sku,WebSku,ProdReference,Size,Capacity,ColorDesc1,ColorHex1,ColorDesc2,ColorHex2,ColorCode,OptionalImage1,OptionalImage2,YourPrice,MinQt1,Price1,MinQt2,Price2,MinQt3,Price3,MinQt4,Price4,MinQt5,Price5,MinQt6,Price6,MinQt7,Price7,MinQt8,Price8,MinQt9,Price9,MinQt10,Price10
97168-103,97168-103,97168,,,Preto,#000000,,,103,97168_103.jpg,,,1.0,67.0,10.0,65.66,50.0,64.66,105.0,63.65,510.0,62.5,,,,,,,,,,
97169-103,97169-103,97169,,,Preto,#000000,,,103,97169_103.jpg,,,1.0,99.0,10.0,97.02,50.0,95.54,105.0,94.05,255.0,92.0,,,,,,,,,,
97169-106,97169-106,97169,,,Branco,#FFFFFF,,,106,97169_106.jpg,,,1.0,99.0,10.0,97.02,50.0,95.54,105.0,94.05,255.0,92.0,,,,,,,,,,
97170-103,97170-103,97170,,,Preto,#000000,,,103,97170_103.jpg,,,1.0,210.0,10.0,205.8,25.0,202.65,50.0,199.5,105.0,195.0,,,,,,,,,,
97171-103,97171-103,97171,,,Preto,#000000,,,103,97171_103.jpg,,,1.0,125.0,10.0,123.13,25.0,121.25,50.0,118.13,255.0,115.0,,,,,,,,,,
97171-107,97171-107,97171,,,Cromado,#d1ced1,,,107,97171_107.jpg,,,1.0,125.0,10.0,123.13,25.0,121.25,50.0,118.13,255.0,115.0,,,,,,,,,,
97172-103,97172-103,97172,,,Preto,#000000,,,103,97172_103.jpg,,,1.0,139.0,10.0,136.22,25.0,134.14,50.0,132.05,255.0,129.0,,,,,,,,,,
97172-107,97172-107,97172,,,Cromado,#d1ced1,,,107,97172_107.jpg,,,1.0,139.0,10.0,136.22,25.0,134.14,50.0,132.05,255.0,129.0,,,,,,,,,,
97173-103,97173-103,97173,,,Preto,#000000,,,103,97173_103.jpg,,,1.0,24.9,25.0,24.53,255.0,24.15,510.0,23.53,1050.0,23.0,,,,,,,,,,
97174-103,97174-103,97174,,,Preto,#000000,,,103,97174_103.jpg,,,1.0,10.5,105.0,10.29,510.0,10.13,1050.0,9.98,2550.0,9.8,,,,,,,,,,
97175-103,97175-103,97175,,,Preto,#000000,,,103,97175_103.jpg,,,1.0,130.0,10.0,128.05,25.0,126.1,50.0,122.85,255.0,120.0,,,,,,,,,,
97175-106,97175-106,97175,,,Branco,#FFFFFF,,,106,97175_106.jpg,,,1.0,130.0,10.0,128.05,25.0,126.1,50.0,122.85,255.0,120.0,,,,,,,,,,
97176-103,97176-103,97176,,,Preto,#000000,,,103,97176_103.jpg,,,1.0,45.0,25.0,44.1,105.0,43.43,255.0,42.75,510.0,42.0,,,,,,,,,,
97176-104,97176-104,97176,,,Azul,#1F3C75,,,104,97176_104.jpg,,,1.0,45.0,25.0,44.1,105.0,43.43,255.0,42.75,510.0,42.0,,,,,,,,,,
97176-106,97176-106,97176,,,Branco,#FFFFFF,,,106,97176_106.jpg,,,1.0,45.0,25.0,44.1,105.0,43.43,255.0,42.75,510.0,42.0,,,,,,,,,,
97176-128,97176-128,97176,,,Laranja,#EF941B,,,128,97176_128.jpg,,,1.0,45.0,25.0,44.1,105.0,43.43,255.0,42.75,510.0,42.0,,,,,,,,,,
97177-103,97177-103,97177,,,Preto,#000000,,,103,97177_103.jpg,,,1.0,290.0,10.0,284.2,25.0,279.85,50.0,275.5,105.0,270.0,,,,,,,,,,
97181-103,97181-103,97181,,,Preto,#000000,,,103,97181_103.jpg,,,1.0,135.0,10.0,132.3,25.0,130.28,50.0,128.25,255.0,125.0,,,,,,,,,,
97181-106,97181-106,97181,,,Branco,#FFFFFF,,,106,97181_106.jpg,,,1.0,135.0,10.0,132.3,25.0,130.28,50.0,128.25,255.0,125.0,,,,,,,,,,
97182-103,97182-103,97182,,,Preto,#000000,,,103,97182_103.jpg,,,1.0,170.0,10.0,168.3,25.0,165.75,50.0,163.2,255.0,159.0,,,,,,,,,,
97182-106,97182-106,97182,,,Branco,#FFFFFF,,,106,97182_106.jpg,,,1.0,170.0,10.0,168.3,25.0,165.75,50.0,163.2,255.0,159.0,,,,,,,,,,
97183-133,97183-133,97183,,,Cinza escuro,#4D4D4D,,,133,97183_133.jpg,,,1.0,129.0,10.0,127.07,25.0,125.13,50.0,121.91,255.0,119.0,,,,,,,,,,
97186-106,97186-106,97186,,,Branco,#FFFFFF,,,106,97186_106.jpg,,,1.0,42.0,25.0,41.16,105.0,40.53,255.0,39.9,510.0,39.0,,,,,,,,,,
97187-103,97187-103,97187,,,Preto,#000000,,,103,97187_103.jpg,,,1.0,21.0,50.0,20.58,255.0,20.27,510.0,19.95,1050.0,19.5,,,,,,,,,,
97187-106,97187-106,97187,,,Branco,#FFFFFF,,,106,97187_106.jpg,,,1.0,21.0,50.0,20.58,255.0,20.27,510.0,19.95,1050.0,19.5,,,,,,,,,,
97188-103,97188-103,97188,,,Preto,#000000,,,103,97188_103.jpg,,,1.0,79.0,10.0,77.82,50.0,76.63,105.0,74.66,255.0,73.0,,,,,,,,,,
97188-106,97188-106,97188,,,Branco,#FFFFFF,,,106,97188_106.jpg,,,1.0,79.0,10.0,77.82,50.0,76.63,105.0,74.66,255.0,73.0,,,,,,,,,,
97189-103,97189-103,97189,,,Preto,#000000,,,103,97189_103.jpg,,,1.0,21.0,50.0,20.58,255.0,20.27,510.0,19.95,1050.0,19.5,,,,,,,,,,
97191-100,97191-100,97191,,,Sortido,#ffffff,,,100,97191_100.jpg,,,1.0,23.5,50.0,23.03,255.0,22.68,510.0,22.33,1050.0,21.9,,,,,,,,,,
97193-106,97193-106,97193,,,Branco,#FFFFFF,,,106,97193_106.jpg,,,1.0,95.0,10.0,93.1,50.0,91.68,105.0,90.25,255.0,88.5,,,,,,,,,,
97195-103,97195-103,97195,,,Preto,#000000,,,103,97195_103.jpg,,,1.0,39.0,25.0,38.61,105.0,38.03,255.0,37.44,510.0,36.5,,,,,,,,,,
97195-106,97195-106,97195,,,Branco,#FFFFFF,,,106,97195_106.jpg,,,1.0,39.0,25.0,38.61,105.0,38.03,255.0,37.44,510.0,36.5,,,,,,,,,,
97195-113,97195-113,97195,,,Cinza,#999999,,,113,97195_113.jpg,,,1.0,39.0,25.0,38.61,105.0,38.03,255.0,37.44,510.0,36.5,,,,,,,,,,
97198-103,97198-103,97198,,,Preto,#000000,,,103,97198_103.jpg,,,1.0,53.0,25.0,51.94,105.0,51.15,255.0,50.35,510.0,49.5,,,,,,,,,,
97198-106,97198-106,97198,,,Branco,#FFFFFF,,,106,97198_106.jpg,,,1.0,53.0,25.0,51.94,105.0,51.15,255.0,50.35,510.0,49.5,,,,,,,,,,
97199-103,97199-103,97199,,,Preto,#000000,,,103,97199_103.jpg,,,1.0,78.0,10.0,76.44,50.0,75.27,105.0,74.1,255.0,72.5,,,,,,,,,,
97199-106,97199-106,97199,,,Branco,#FFFFFF,,,106,97199_106.jpg,,,1.0,78.0,10.0,76.44,50.0,75.27,105.0,74.1,255.0,72.5,,,,,,,,,,
97214-103,97214-103,97214,,,Preto,#000000,,,103,97214_103.jpg,,,1.0,79.0,10.0,77.42,50.0,76.24,105.0,75.05,255.0,73.5,,,,,,,,,,
97258-133,97258-133,97258,,,Cinza escuro,#4D4D4D,,,133,97258_133.jpg,,119.9,1.0,119.9,,,,,,,,,,,,,,,,,,
97318-103,97318-103,97318,,,Preto,#000000,,,103,97318_103.jpg,,,1.0,15.9,50.0,15.74,255.0,15.5,510.0,15.26,2550.0,14.9,,,,,,,,,,
97318-106,97318-106,97318,,,Branco,#FFFFFF,,,106,97318_106.jpg,,,1.0,15.9,50.0,15.74,255.0,15.5,510.0,15.26,2550.0,14.9,,,,,,,,,,
97328-103,97328-103,97328,,,Preto,#000000,,,103,97328_103.jpg,,19.99,1.0,19.99,,,,,,,,,,,,,,,,,,
97328-106,97328-106,97328,,,Branco,#FFFFFF,,,106,97328_106.jpg,,19.99,1.0,19.99,,,,,,,,,,,,,,,,,,
97341-103,97341-103,97341,,,Preto,#000000,,,103,97341_103.jpg,,19.9,1.0,19.9,,,,,,,,,,,,,,,,,,
97341-114,97341-114,97341,,,Azul royal,#3C53A0,,,114,97341_114.jpg,,19.9,1.0,19.9,,,,,,,,,,,,,,,,,,
97349-106,97349-106,97349,,,Branco,#FFFFFF,,,106,97349_106.jpg,,0.99,1.0,0.99,,,,,,,,,,,,,,,,,,
97357-103,97357-103,97357,,,Preto,#000000,,,103,97357_103.jpg,,,1.0,17.0,50.0,16.83,255.0,16.58,510.0,16.32,2550.0,15.9,,,,,,,,,,
97357-105,97357-105,97357,,,Vermelho,#DD2A34,,,105,,,,1.0,17.0,50.0,16.83,255.0,16.58,510.0,16.32,2550.0,15.9,,,,,,,,,,
